question,answer
What is the punishment for Wrongful confinement in secret?,2 Years in addition to imprisonment under any other section (Section: IPC_346)
"What is the punishment for Wrongful confinement for the purpose of extorting property, or constraining to an illegal act, etc.?",3 Years + Fine (Section: IPC_347)
"What is the punishment for Wrongful confinement for the purpose of extorting confession or information, or of compelling restoration of property etc.?",3 Years + Fine (Section: IPC_348)
What is the punishment for nan?,nan (Section: IPC_349)
What is the punishment for nan?,nan (Section: IPC_350)
What is the punishment for nan?,nan (Section: IPC_351)
What is the punishment for Assault or use of criminal force otherwise than on grave provocation?,3 Months or Fine or Both (Section: IPC_352)
What is the punishment for Assault or use of criminal force to deter a public servant from discharge of his duty?,2 Years or Fine or Both (Section: IPC_353)
What is the punishment for Assault or use of criminal force to woman with intent to outrage her modesty?,1 to 5 years + Fine (Section: IPC_354)
What is the punishment for Sexual harassment of the nature of unwelcome physical contact and advances or a demand or request for sexual favours or showing pornography?,Upto 3 years or Fine or Both (Section: IPC_354A)
What is the punishment for Criminal force to woman with intent to disrobe?,3 to 7 years + Fine (Section: IPC_354B)
What is the punishment for nan?,nan (Section: IPC_354C)
What is the punishment for Stalking?,Upto 3 years + Fine for first conviction (Section: IPC_354D)
"What is the punishment for Assault or criminal force with intent to dishonour a person, otherwise than on grave and sudden provocation?",2 Years or Fine or Both (Section: IPC_355)
What is the punishment for Assault or criminal force in attempt to commit theft of property worn or carried by a person?,2 Years or Fine or Both (Section: IPC_356)
What is the punishment for Assault or use of criminal Force in attempt wrongfully to confine a person?,1 Year or Fine or Both (Section: IPC_357)
What is the punishment for Assault or use of criminal force on grave and sudden provocation?,Simple Imprisonment for 1 Month or Fine or Both (Section: IPC_358)
What is the punishment for nan?,nan (Section: IPC_359)
What is the punishment for nan?,nan (Section: IPC_360)
What is the punishment for nan?,nan (Section: IPC_361)
What is the punishment for nan?,nan (Section: IPC_362)
What is the punishment for Kidnapping?,7 Years + Fine (Section: IPC_363)
What is the punishment for Kidnapping or obtaining the custody of a minor in order that such minor may be employed or used for purposes of begging?,10 Years + Fine. (Section: IPC_363A)
What is the punishment for Kidnapping or abducting in order to murder?,Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine (Section: IPC_364)
"What is the punishment for Kidnapping for ransom, etc.?",Death or Life + Fine (Section: IPC_364A)
What is the punishment for Kidnapping or abducting with intent secretly and wrongfully to confine a person?,7 Years + Fine (Section: IPC_365)
What is the punishment for Kidnapping or abducting a woman to compel her marriage or to cause her defilement etc.?,10 Years + Fine (Section: IPC_366)
What is the punishment for Procuration of minor girl?,10 Years + Fine (Section: IPC_366A)
What is the punishment for Importation of girl from foreign country?,10 Years + Fine (Section: IPC_366B)
"What is the punishment for Kidnapping or abducting in order to subject a person to grievous hurt, slavery, etc.?",10 Years + Fine (Section: IPC_367)
What is the punishment for Concealing or keeping in confinement a kidnapped person?,As for Kidnapping or Abduction (Section: IPC_368)
What is the punishment for Kidnapping or abducting a child with intent to take property from the person of such child?,7 Years + Fine (Section: IPC_369)
What is the punishment for Trafficking of person?,7 to 10 years + Fine (Section: IPC_370)
What is the punishment for Exploitation of a trafficked child?,5 to 7 years + Fine (Section: IPC_370A)
What is the punishment for Habitual dealing in slaves?,Life or 10 Years + Fine (Section: IPC_371)
"What is the punishment for Selling or letting to hire a minor for purposes of prostitution, etc.?",10 Years + Fine (Section: IPC_372)
What is the punishment for Buying or obtaining possession of a minor for the same purposes?,10 Years + Fine (Section: IPC_373)
What is the punishment for Unlawful compulsory labour?,1 Year or Fine or Both (Section: IPC_374)
What is the punishment for nan?,nan (Section: IPC_375)
What is the punishment for Rape?,Rigorous Imprisonment for 10 years to Imprisonment for Life + Fine (Section: IPC_376)
What is the punishment for Person committing an offence of rape and inflicting injury which causes death or causes the woman to be in a persistent vegetative state?,Rigorous Imprisonment for 20 years to Imprisonment for Natural-Life or Death (Section: IPC_376A)
What is the punishment for nan?,nan (Section: IPC_376AB)
What is the punishment for Sexual intercourse by husband upon his wife during separation?,2 to 7 years + Fine (Section: IPC_376B)
What is the punishment for Sexual intercourse by a person in authority?,Rigorous Imprisonment for 5 to 10 years + Fine (Section: IPC_376C)
What is the punishment for Gang rape?,Rigorous Imprisonment for 20 years to Imprisonment for Natural-Life + Fine paid to the victim (Section: IPC_376D)
What is the punishment for nan?,nan (Section: IPC_376DA)
What is the punishment for nan?,nan (Section: IPC_376DB)
What is the punishment for Repeat offenders?,Imprisonment for Natural-Life or Death (Section: IPC_376E)
What is the punishment for Unnatural offences?,Imprisonment for Life or 10 Years + Fine (Section: IPC_377)
What is the punishment for nan?,nan (Section: IPC_378)
What is the punishment for Theft?,3 Years or Fine or Both (Section: IPC_379)
"What is the punishment for Theft in a building, tent or vessel?",7 Years + Fine (Section: IPC_380)
What is the punishment for Theft by clerk or servant of property in possession of master or employer?,7 Years + Fine (Section: IPC_381)
"What is the punishment for Theft, after preparation having been made for causing death, or hurt, or restraint or fear of death, or of hurt or of restraint, in order to the committing of such theft, or to retiring after committing it, or to retaining property taken by it?",Rigorous Imprisonment for 10 Years + Fine (Section: IPC_382)
What is the punishment for nan?,nan (Section: IPC_383)
What is the punishment for Extortion?,3 Years or Fine or Both (Section: IPC_384)
"What is the punishment for Putting or attempting to put in fear of injury, in order to commit extortion?",2 Years or Fine or Both (Section: IPC_385)
What is the punishment for extortion by putting a person in fear of death or grievous hurt?,10 Years + Fine (Section: IPC_386)
What is the punishment for Putting or attempting to put a person in fear of death or grievous hurt in order to commit extortion?,7 Years + Fine (Section: IPC_387)
"What is the punishment for Extortion by threat of accusation of an offence punishable with death, imprisonment for life, or imprisonment for 10 Years.?",10 Years + Fine. (Section: IPC_388)
"What is the punishment for Putting a person in fear of accusation of an offence punishable with death, imprisonment for life, or imprisonment for 10 Years in order to commit extortion.?",10 Years + Fine (Section: IPC_389)
What is the punishment for nan?,nan (Section: IPC_390)
What is the punishment for nan?,nan (Section: IPC_391)
What is the punishment for Robbery?,Rigorous Imprisonment for 10 Years + Fine (Section: IPC_392)
What is the punishment for Attempt to commit robbery?,Rigorous Imprisonment for 7 Years + Fine (Section: IPC_393)
"What is the punishment for Person voluntarily causing hurt in committing or attempting to commit robbery, or any other person jointly concerned in such robbery?",Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine (Section: IPC_394)
What is the punishment for Dacoity?,Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine (Section: IPC_395)
What is the punishment for Murder in Dacoity?,"Death, Imprisonment for Life, or Rigorous Imprisonment for 10 Years + Fine (Section: IPC_396)"
"What is the punishment for Robber or Dacoity, with attempt to cause death or grievous hurt?",Rigorous Imprisonment for not less than 7 Years (Section: IPC_397)
What is the punishment for Attempt to commit robbery or Dacoity when armed with deadly weapons?,Rigorous Imprisonment for not less than 7 Years (Section: IPC_398)
What is the punishment for Making preparation to commit Dacoity?,Rigorous Imprisonment for 10 Years + Fine (Section: IPC_399)
What is the punishment for Belonging to a gang of persons associated for the purpose of habitually committing Dacoity?,Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine (Section: IPC_400)
What is the punishment for Belonging to a wandering gang of persons associated for the purpose of habitually committing thefts?,Rigorous Imprisonment for 7 Years + Fine (Section: IPC_401)
What is the punishment for Being one of five or more persons assembled for the purpose of committing Dacoity?,Rigorous Imprisonment for 7 Years + Fine (Section: IPC_402)
"What is the punishment for Dishonest misappropriation of movable property, or converting it to one’s own use?",2 Years or Fine or Both (Section: IPC_403)
"What is the punishment for Dishonest misappropriation of property, knowing that it was in possession of a deceased person at his death, and that it has not since been in the possession of any person legally entitled to it?",3 Years + Fine (Section: IPC_404)
What is the punishment for nan?,nan (Section: IPC_405)
What is the punishment for Criminal breach of trust?,3 Years or Fine or Both (Section: IPC_406)
"What is the punishment for Criminal breach of trust by a carrier, wharfinger, etc.?",7 Years + Fine (Section: IPC_407)
What is the punishment for Criminal breach of trust by a clerk or servant?,7 Years + Fine (Section: IPC_408)
"What is the punishment for Criminal breach of trust by public servant or by banker, merchant or agent, etc.?",Imprisonment for Life or 10 Years + Fine (Section: IPC_409)
What is the punishment for nan?,nan (Section: IPC_410)
What is the punishment for Dishonestly receiving stolen property knowing it to be stolen?,3 Years or Fine or Both (Section: IPC_411)
"What is the punishment for Dishonestly receiving stolen property, knowing that it was obtained by Dacoity?",Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine (Section: IPC_412)
What is the punishment for Habitually dealing in stolen property?,Imprisonment for Life or 10 Years + Fine (Section: IPC_413)
"What is the punishment for Assisting in concealment or disposal of stolen property, knowing it to be stolen?","3 Years, or Fine, or Both (Section: IPC_414)"
What is the punishment for nan?,nan (Section: IPC_415)
What is the punishment for nan?,nan (Section: IPC_416)
What is the punishment for Cheating?,1 Year or Fine or Both (Section: IPC_417)
"What is the punishment for Cheating a person whose interest the offender was bound, either by law or by legal contract, to protect?",3 Years or Fine or Both (Section: IPC_418)
What is the punishment for Cheating by personation?,3 Years or Fine or Both (Section: IPC_419)
"What is the punishment for Cheating and there by dishonestly inducing delivery of property, or the making, alteration or destruction of a valuable security?",7 Years + Fine (Section: IPC_420)
"What is the punishment for Fraudulent removal or concealment of property etc., to prevent distribution among creditors?",2 Years or Fine or Both (Section: IPC_421)
What is the punishment for Fraudulently preventing from being made available for his creditors a debt or demand due to the offender?,2 Years or Fine or Both (Section: IPC_422)
What is the punishment for Fraudulent execution of deed of transfer containing a false statement of consideration?,2 Years or Fine or Both (Section: IPC_423)
"What is the punishment for Fraudulent removal or concealment of property of himself or any other person or assisting in the doing thereof, or dishonestly releasing any demand or claim to which he is entitled?",2 Years or Fine or Both (Section: IPC_424)
What is the punishment for nan?,nan (Section: IPC_425)
What is the punishment for Mischief?,3 Months or Fine or Both (Section: IPC_426)
"What is the punishment for Mischief, and thereby causing damage to the amount of 50 rupees or upwards?",2 Years or Fine or Both (Section: IPC_427)
"What is the punishment for Mischief by killing, poisoning, maiming or rendering useless any animal of the value of 10 rupees or upwards?",2 Years or Fine or Both (Section: IPC_428)
"What is the punishment for Mischief by killing poisoning maiming or rendering useless any elephant, camel, horse, etc., whatever may be its value or any other animal of the value of 50 rupees or upwards?",5 Years or Fine or Both (Section: IPC_429)
"What is the punishment for Mischief by causing diminution of supply of water for agricultural purposes, etc.?",5 Years or Fine or Both (Section: IPC_430)
"What is the punishment for Mischief by injury to public road, bridge, navigable river, or navigable channel and rendering it impassable or less safe for travelling or conveying property?",5 Years or Fine or Both (Section: IPC_431)
What is the punishment for Mischief by causing inundation or obstruction to public drainage attended with damage?,5 Years or Fine or Both (Section: IPC_432)
"What is the punishment for Mischief by destroying or moving or rendering less useful a lighthouse or sea-mark, or by exhibiting false lights?",7 Years or Fine or Both (Section: IPC_433)
"What is the punishment for Mischief by destroying or moving, etc., a landmark fixed by public authority?",1 Year or Fine or Both (Section: IPC_434)
"What is the punishment for Mischief by fire or explosive substance with intent to cause damage to an amount of 100 rupees or upwards, or, in case of agricultural produce, 10 rupees or upwards?",7 Years + Fine (Section: IPC_435)
What is the punishment for Mischief by fire or explosive substance with intent to destroy house etc.?,"Imprisonment for Life, or 10 Years + Fine (Section: IPC_436)"
What is the punishment for Mischief with intent to destroy or make unsafe A decked vessel or a vessel of 20 tones burden?,10 Years + Fine (Section: IPC_437)
What is the punishment for The mischief described in the last section when committed by fire or any explosive substance?,Imprisonment for Life or 10 Years + Fine (Section: IPC_438)
"What is the punishment for Running vessel ashore with intent to commit theft, etc.?",10 Years + Fine (Section: IPC_439)
"What is the punishment for Mischief committed after preparation made for causing death, or hurt, etc.?",5 Years + Fine (Section: IPC_440)
What is the punishment for nan?,nan (Section: IPC_441)
What is the punishment for nan?,nan (Section: IPC_442)
What is the punishment for nan?,nan (Section: IPC_443)
What is the punishment for nan?,nan (Section: IPC_444)
What is the punishment for nan?,nan (Section: IPC_445)
What is the punishment for nan?,nan (Section: IPC_446)
What is the punishment for Criminal trespass?,3 Months or Fine or Both (Section: IPC_447)
What is the punishment for House-trespass?,1 Year or Fine or Both (Section: IPC_448)
What is the punishment for House-trespass in order to the commission of an offence punishable with death?,Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine (Section: IPC_449)
What is the punishment for House-trespass in order to the commission of an Offence punishable with imprisonment for life?,10 Years + Fine (Section: IPC_450)
What is the punishment for House-trespass in order to the commission of an Offence punishable with imprisonment?,2 Years + Fine (Section: IPC_451)
"What is the punishment for House-trespass, having made preparation for causing hurt, assault, etc.?",7 Years + Fine (Section: IPC_452)
What is the punishment for Lurking house trespass or house-breaking?,2 Years + Fine (Section: IPC_453)
What is the punishment for Lurking house-trespass or house-breaking in order to the commission of an offence punishable with imprisonment?,3 Years + Fine (Section: IPC_454)
"What is the punishment for Lurking house-trespass or house-breaking after preparation made for causing hurt, assault, etc.?",10 Years + Fine (Section: IPC_455)
What is the punishment for Lurking house-trespass or house-breaking by night?,3 Years + Fine (Section: IPC_456)
What is the punishment for Lurking house-trespass or house-breaking by night in order to the commission of an offence punishable with imprisonment?,5 Years + Fine (Section: IPC_457)
"What is the punishment for Lurking house-trespass or house-breaking by night, after preparation made for causing hurt, etc.?",14 Years + Fine (Section: IPC_458)
What is the punishment for Grievous hurt caused whilst committing lurking house-trespass or house-breaking?,Imprisonment for Life or 10 Years + Fine (Section: IPC_459)
"What is the punishment for Death or grievous hurt caused by one of several persons jointly concerned in house-breaking by Night, etc.?",Imprisonment for Life or 10 Years + Fine (Section: IPC_460)
What is the punishment for Dishonestly breaking Open or unfastening any closed receptacle containing or supposed to contain property?,2 Years or Fine or Both (Section: IPC_461)
"What is the punishment for Being entrusted with any closed receptacle containing or supposed to contain any property, and fraudulently opening the same?",3 Years or Fine or Both (Section: IPC_462)
What is the punishment for nan?,nan (Section: IPC_463)
What is the punishment for nan?,nan (Section: IPC_464)
What is the punishment for Forgery?,2 Years or Fine or Both (Section: IPC_465)
"What is the punishment for Forgery of a record of a court of Justice or of a Registrar of Births, etc., kept by a public servant?",7 Years + Fine (Section: IPC_466)
"What is the punishment for Forgery of a valuable security, will or authority to make or transfer any valuable security, or to receive any money, etc.?",Imprisonment for Life or 10 Years + Fine (Section: IPC_467)
What is the punishment for Forgery for the purpose of cheating?,7 Years + Fine (Section: IPC_468)
What is the punishment for Forgery for the purpose of harming the reputation of any person or knowing that it is likely to be used for that purpose?,3 Years + Fine (Section: IPC_469)
What is the punishment for nan?,nan (Section: IPC_470)
What is the punishment for Using as genuine a forged document which is known to be forged?,Same as for Forgery of such document (Section: IPC_471)
"What is the punishment for Making or counterfeiting a seal, plate, etc., with intent to commit a forgery punishable under section 467 of the Indian Penal Code, or possessing with like intent any such seal, plate, etc. knowing the same to be counterfeit?",Imprisonment for Life or 7 Years + Fine (Section: IPC_472)
"What is the punishment for Making or counterfeiting a seal, plate, etc., with intent to commit a forgery punishable otherwise than under section 467 of the Indian Penal Code, or possessing with like intent any such seal plate, etc., knowing the same to be counterfeit?",7 Years + Fine (Section: IPC_473)
"What is the punishment for Having possession of a document, knowing it to be forged, with intent to use it as genuine; If the document is one of the description mentioned in section 466 of the Indian Penal Code?",7 Years + Fine (Section: IPC_474)
"What is the punishment for Counterfeiting a device or mark used for authenticating documents described in section 467 of the Indian Penal Code, or possessing counterfeit marked material?",Imprisonment for Life or 7 Years + Fine (Section: IPC_475)
"What is the punishment for Counterfeiting a device or mark used for authenticating documents other than those described in section 467 of the Indian Penal Code, or possessing counterfeit marked material?",7 Years + Fine (Section: IPC_476)
"What is the punishment for Fraudulently destroying or defacing, or attempting to destroy or deface, or secreting, a will, etc.?",Imprisonment for Life or 7 Years + Fine (Section: IPC_477)
What is the punishment for Falsification of accounts?,7 Years or Fine or Both (Section: IPC_477A)
What is the punishment for nan?,nan (Section: IPC_478)
What is the punishment for nan?,nan (Section: IPC_479)
What is the punishment for nan?,nan (Section: IPC_480)
What is the punishment for nan?,nan (Section: IPC_481)
What is the punishment for Using a false property mark with intent to deceive or injure any person?,1 Year or Fine or Both (Section: IPC_482)
"What is the punishment for Counterfeiting a property mark used by another, with intent to cause damage or injury?",2 Years or Fine or Both (Section: IPC_483)
"What is the punishment for Counterfeiting a property mark used by a public servant, or any mark used by him to denote the manufacture, quality, etc., of any property?",3 Years + Fine (Section: IPC_484)
"What is the punishment for Fraudulently making or having possession of any die, plate or other instrument for counterfeiting any public or private property mark?",3 Years or Fine or Both (Section: IPC_485)
What is the punishment for Knowingly selling goods marked with a counterfeit property mark?,1 Year or Fine or Both (Section: IPC_486)
"What is the punishment for Fraudulently marking a false mark upon any package or receptacle containing goods, with intent to cause it to be believed that it contains goods which it does not contain, etc.?",3 Years or Fine or Both (Section: IPC_487)
What is the punishment for Making use of any such false mark?,3 Years or Fine or Both (Section: IPC_488)
What is the punishment for Removing destroying or defacing property mark with intent to cause injury?,1 Year or Fine or Both (Section: IPC_489)
What is the punishment for Counterfeiting currency-notes or bank-notes?,Imprisonment for Life or 10 Years + Fine (Section: IPC_489A)
What is the punishment for Using as genuine forged or counterfeit currency-notes or bank-notes?,Imprisonment for Life or 10 Years + Fine (Section: IPC_489B)
What is the punishment for Possession of forged or counterfeit currency-notes or bank-notes?,7 Years or Fine or Both (Section: IPC_489C)
"What is the punishment for Making or possessing machinery, instrument or material for forging or counterfeiting currency-notes or bank-notes?",Imprisonment for Life or 10 Years + Fine (Section: IPC_489D)
What is the punishment for Making or using documents resembling currency-notes or bank-notes?,Fine (Section: IPC_489E)
What is the punishment for On refusal to disclose the name and address of the printer?,Fine (Section: IPC_490)
"What is the punishment for Being bound to attend on or supply the wants of a person who is helpless from youth, unsoundness of mind or disease, and voluntarily omitting to do so?",3 Months or Fine or Both (Section: IPC_491)
What is the punishment for nan?,nan (Section: IPC_492)
What is the punishment for A man by deceit causing a woman not lawfully married to him to believe that she is lawfully married to him and to cohabit with him in that belief?,10 Years + Fine (Section: IPC_493)
What is the punishment for Marrying again during the life-time of a husband or wife?,7 Years + Fine (Section: IPC_494)
What is the punishment for Same offence with concealment of the former marriage from the person with whom subsequent marriage is contracted?,10 Years + Fine (Section: IPC_495)
What is the punishment for A person with fraudulent intention going through the ceremony of being married knowing that he is not thereby lawfully married?,7 Years + Fine (Section: IPC_496)
What is the punishment for Adultery?,5 Years or Fine or Both (Section: IPC_497)
What is the punishment for Enticing or taking away or detaining with a criminal intent a married woman?,2 Years and Fine (Section: IPC_498)
What is the punishment for Punishment for subjecting a married woman to Cruelty?,3 Years + Fine (Section: IPC_498A)
What is the punishment for nan?,nan (Section: IPC_499)
What is the punishment for Defamation against the President or the Vice-president or the Governor of a State or Administrator of a Union Territory or a Minister in respect of his conduct in the discharge of his public functions when instituted upon a complaint made by the Public Prosecutor?,Simple Imprisonment for 2 Years or Fine or Both (Section: IPC_500)
What is the punishment for Printing or engraving matter knowing it to be defamatory against the President or the Vice-President or the Governor of a State or Administrator of a Union territory or a Minister in respect of his conduct in the discharge of his public functions when instituted upon a complaint made by the Public Prosecutor?,Simple Imprisonment for 2 Years or Fine or Both (Section: IPC_501)
"What is the punishment for Sale of printed or engraved substance containing defamatory matter, knowing it to contain such matter against the President or the Vice-President or the Governor of a State or Administrator of a Union territory or a Minister in respect of his conduct in the discharge of his public functions when instituted upon a complaint made by the Public Prosecutor?",Simple Imprisonment for 2 Years or Fine or Both (Section: IPC_502)
What is the punishment for nan?,nan (Section: IPC_503)
What is the punishment for Insult intended to provoke breach of the peace?,2 Years or Fine or Both (Section: IPC_504)
"What is the punishment for False statement, rumour, etc., circulated with intent to cause mutiny or offence against the public peace?",3 Years or Fine or Both (Section: IPC_505)
What is the punishment for Criminal intimidation?,2 Years or Fine or Both (Section: IPC_506)
What is the punishment for Criminal intimidation by Anonymous communication or having taken precaution to conceal whence the threat comes?,As in Section 506 + 2 Years (Section: IPC_507)
What is the punishment for Act caused by inducing a person to believe that he will be rendered an object of Divine displeasure?,1 Year or Fine or Both (Section: IPC_508)
"What is the punishment for Uttering any word or making any gesture intended to insult the modesty of a woman, etc.?",Simple imprisonment for 3 years + Fine (Section: IPC_509)
"What is the punishment for Appearing in a public Place, etc., in a State of intoxication, and causing annoyance to any person?",Simple Imprisonment for 24 hours or Fine or Both (Section: IPC_510)
"What is the punishment for Attempting to commit offences punishable with imprisonment for life, or imprisonment, and in such attempt doing any act towards the commission of the offence?","Imprisonment for Life or Imprisonment not exceeding, half of the longest term provided for the Offence, or Fine, or Both (Section: IPC_511)"
